Time (s),Z Position (mm)
0.0,0.1154853164631346
0.01,0.0
0.02,0.0
0.03,0.2340985124292673
0.04,0.2361478200966034
0.05,0.2379270167670903
0.06,0.239441279302897
0.07,0.2406940756654888
0.08,0.0
0.09,0.2424345270895623
0.1,0.2429516876288732
0.11,0.137806862423548
0.12,0.2433176483742985
0.13,0.1019682260660912
0.14,0.2429098323234884
0.15,0.0710507055208426
0.16,0.2418609535815349
0.17,0.0711909031906204
0.18,0.2403450959058924
0.19,0.0591911544840213
0.2,0.0
0.21,0.0
0.22,0.0
0.23,0.0
0.24,0.0
0.25,0.0
0.26,0.0001734128878967
0.27,0.0121732489867662
0.28,0.0245678708248826
0.29,0.0372840982324935
0.3,0.0503006461761158
0.31,0.0635738917508141
0.32,0.2333998283025156
0.33,0.0905261218682658
0.34,0.104091362625178
0.35000000000000003,0.1176166579649549
0.36,0.233225354338091
0.37,0.1443918848761107
0.38,0.1574782585196106
0.39,0.2392948488136924
0.4,0.2449219049494143
0.41000000000000003,0.2524340434299664
0.42,0.2598035050183461
0.43,0.2648374119364736
0.44,0.2704324861645364
0.45,0.2764466915154092
0.46,0.2830378122370085
0.47000000000000003,0.3091609701681606
0.48,0.3390804707307187
0.49,0.3692449542691345
0.5,0.3995808966290368
0.51,0.429958927023427
0.52,0.4602771545594232
0.53,0.490448272936512
0.54,0.5203556438682697
0.55,0.6244055795006593
0.56,0.6395168648705339
0.5700000000000001,0.653143251736414
0.58,0.6661047399435183
0.59,0.6783386029728339
0.6,0.689780507004926
0.61,0.5745466352647219
0.62,0.5702255324465112
0.63,0.5662065000566496
0.64,0.5625883667989413
0.65,0.5603073603368998
0.66,0.5573112128461403
0.67,0.5552237758309989
0.68,0.5543606723153429
0.6900000000000001,0.5527648479428214
0.7000000000000001,0.7566993417697783
0.71,0.7547764422079497
0.72,0.7509997370574787
0.73,0.7454023585960929
0.74,0.7408953080477046
0.75,0.7355621298259711
0.76,0.72898396285167
0.77,0.7215905346476976
0.78,0.7129576761464763
0.79,0.7030779867489108
0.8,0.6919631394956767
0.81,0.6796545068273018
0.8200000000000001,0.6661960411730263
0.8300000000000001,0.6530402762831724
0.84,0.9434767690257588
0.85,0.94409241798723
0.86,0.9319373340773598
0.87,0.9215568136336364
0.88,0.9119025703098762
0.89,0.8926300817302428
0.9,0.8875778262810252
0.91,0.8711448574952774
0.92,0.8676029965853052
0.93,0.8584915033694916
0.9400000000000001,0.8471992240333215
0.9500000000000001,0.8350231125025693
0.96,0.6603617888910019
0.97,0.7615345168472841
0.98,0.8083870368057979
0.99,0.6705105471978626
1.0,0.6736630348922568
1.01,0.6766909525367135
1.02,0.6795809310520419
1.03,0.6823298200974759
1.04,0.6849314043160185
1.05,0.6873790627542402
1.06,0.6896695446502623
1.07,0.6917948345674011
1.08,0.6937495666153684
1.09,0.6955445208322656
1.1,0.6971602603019955
1.11,0.6986039035503496
1.12,0.6998704859950032
1.1300000000000001,0.7009610724596927
1.1400000000000001,0.7018769654464934
1.1500000000000001,0.7026189423507575
1.16,0.7031870648682627
1.17,0.7035869984139624
1.18,0.703820434808181
1.19,0.7038916397412702
1.2,0.7038075109169146
1.21,0.711836201547743
1.22,0.7197719732738432
1.23,0.7273303031726223
1.24,0.7343289075604359
1.25,0.7407357491482731
1.26,0.746522458139259
1.27,0.7516678266392793
1.28,0.7561470026049485
1.29,0.7599426963483643
1.3,0.7630397046447666
1.31,0.7768980109030501
1.32,0.8368071237617112
1.33,0.8947128975682224
1.34,0.9433659602115528
1.35,0.9742719823903808
1.36,1.0042265969024584
