episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100
1,-196.91377,100,100,0.27906131744384766,-196.91377,-196.91377,-196.91377
2,-219.71777,100,200,0.5816788673400879,-208.31577,-208.31577,-208.31577
3,-196.52678,100,300,0.9519314765930176,-204.38611,-204.38611,-204.38611
4,-183.00673,100,400,1.5556912422180176,-199.04126,-199.04126,-199.04126
5,-199.78035,100,500,1.9177136421203613,-199.18907,-199.18907,-199.18907
6,-180.50937,100,600,2.2561838626861572,-196.07579,-196.07579,-196.07579
7,-196.16425,100,700,2.6250410079956055,-196.08841,-196.08841,-196.08841
8,-208.78816,100,800,2.9884936809539795,-197.6759,-197.6759,-197.6759
9,-198.79582,100,900,3.3085179328918457,-197.80034,-197.80034,-197.80034
10,-202.39389,100,1000,3.638296365737915,-198.25969,-198.25969,-198.25969
11,-191.7292,100,1100,3.960935354232788,-197.74124,-197.66602,-197.66602
12,-198.11914,100,1200,4.2704102993011475,-195.58138,-197.70378,-197.70378
13,-181.32875,100,1300,4.582205057144165,-194.06155,-196.44417,-196.44417
14,-186.38899,100,1400,4.89558744430542,-194.3998,-195.72594,-195.72594
15,-185.39482,100,1500,5.186060667037964,-192.96124,-195.03719,-195.03719
16,-204.68019,100,1600,5.506032705307007,-195.37831,-195.63988,-195.63988
17,-194.91057,100,1700,5.815810441970825,-195.25294,-195.59698,-195.59698
18,-194.33818,100,1800,6.142058849334717,-193.80795,-195.52704,-195.52704
19,-202.57117,100,1900,6.4401538372039795,-194.18549,-195.8978,-195.8978
20,-191.4399,100,2000,6.750881910324097,-193.09009,-195.6749,-195.6749
21,-179.10022,100,2100,7.045136213302612,-191.8272,-194.88562,-194.88562
22,-191.04428,100,2200,7.3703930377960205,-191.1197,-194.71103,-194.71103
23,-166.67984,100,2300,7.688226699829102,-189.65482,-193.49228,-193.49228
24,-191.64548,100,2400,7.983463764190674,-190.18045,-193.41533,-193.41533
25,-174.0936,100,2500,8.28750205039978,-189.05035,-192.64246,-192.64246
26,-166.34315,100,2600,8.600038051605225,-185.21664,-191.63095,-191.63095
27,-163.03123,100,2700,8.901815414428711,-182.0287,-190.5717,-190.5717
28,-163.76189,100,2800,9.209541082382202,-178.97107,-189.61421,-189.61421
29,-178.04282,100,2900,9.676604747772217,-176.51823,-189.2152,-189.2152
30,-166.77719,100,3000,10.05431842803955,-174.05197,-188.46727,-188.46727
31,-152.33994,100,3100,10.345529794692993,-171.37595,-187.30186,-187.30186
32,-156.57205,100,3200,10.827186822891235,-167.92873,-186.34155,-186.34155
33,-169.30554,100,3300,11.225393772125244,-168.19128,-185.82532,-185.82532
34,-157.678,100,3400,11.579590082168579,-164.79454,-184.99745,-184.99745
35,-161.41843,100,3500,12.154489994049072,-163.52702,-184.32378,-184.32378
36,-150.97078,100,3600,12.600153923034668,-161.98979,-183.3973,-183.3973
37,-151.59837,100,3700,12.924011945724487,-160.8465,-182.53786,-182.53786
38,-158.56604,100,3800,13.26656723022461,-160.32692,-181.90703,-181.90703
39,-159.62157,100,3900,13.60724663734436,-158.4848,-181.3356,-181.3356
40,-150.97334,100,4000,13.96275019645691,-156.90442,-180.57654,-180.57654
41,-170.58974,100,4100,14.290525674819946,-158.72939,-180.33296,-180.33296
42,-174.82774,100,4200,14.663295269012451,-160.55496,-180.20187,-180.20187
43,-165.43486,100,4300,14.984183311462402,-160.16788,-179.85846,-179.85846
44,-151.63632,100,4400,15.305945873260498,-159.56372,-179.21706,-179.21706
45,-181.15532,100,4500,15.621532678604126,-161.53741,-179.26012,-179.26012
46,-169.52553,100,4600,16.222508668899536,-163.39288,-179.04851,-179.04851
47,-168.88837,100,4700,16.580549716949463,-165.12187,-178.83234,-178.83234
48,-161.53465,100,4800,17.01370143890381,-165.41875,-178.47197,-178.47197
49,-165.45354,100,4900,17.39013695716858,-166.00194,-178.20627,-178.20627
50,-162.22067,100,5000,17.718616008758545,-167.12668,-177.88657,-177.88657
51,-171.74147,100,5100,18.04532504081726,-167.24185,-177.3831,-177.76607
52,-155.65665,100,5200,18.509493350982666,-165.32474,-176.1019,-177.34088
53,-167.94124,100,5300,18.956791639328003,-165.57536,-175.5302,-177.16353
54,-168.2816,100,5400,19.308136701583862,-167.23991,-175.23569,-176.99904
55,-160.62291,100,5500,19.60295343399048,-165.18668,-174.45255,-176.7013
56,-187.6525,100,5600,19.982053756713867,-166.99936,-174.59541,-176.89687
57,-176.76863,100,5700,20.337003231048584,-167.78738,-174.20747,-176.89462
58,-158.47871,100,5800,20.681341648101807,-167.4818,-173.20131,-176.5771
59,-153.27914,100,5900,20.973178386688232,-166.26437,-172.29095,-176.18222
60,-166.72314,100,6000,21.344694137573242,-166.7146,-171.57755,-176.02458
61,-166.84229,100,6100,21.651962995529175,-166.22469,-171.0798,-175.87404
62,-151.21414,100,6200,21.952290534973145,-165.78043,-170.1417,-175.47629
63,-134.7048,100,6300,22.38642716407776,-162.45679,-169.20921,-174.82913
64,-151.7277,100,6400,22.769071578979492,-160.80139,-168.51599,-174.46817
65,-160.47954,100,6500,23.164995431900024,-160.78705,-168.0177,-174.25296
66,-153.92949,100,6600,23.642409563064575,-157.41475,-167.0027,-173.94504
67,-175.71147,100,6700,24.160860776901245,-157.30904,-166.61871,-173.9714
68,-167.42366,100,6800,24.589895725250244,-158.20354,-166.08041,-173.87512
69,-167.01804,100,6900,25.114041328430176,-159.57742,-165.36935,-173.77573
70,-184.20161,100,7000,25.639251947402954,-161.32529,-165.2246,-173.92467
71,-166.2725,100,7100,26.086225271224976,-161.2683,-164.96805,-173.8169
72,-160.8319,100,7200,26.570241928100586,-162.23007,-164.36378,-173.63654
73,-171.62535,100,7300,26.933586359024048,-165.92213,-164.46269,-173.609
74,-154.68349,100,7400,27.311166763305664,-166.21771,-163.72345,-173.35324
75,-140.87398,100,7500,27.603094339370728,-164.25716,-163.05907,-172.92018
76,-146.29555,100,7600,27.89031744003296,-163.49376,-162.65811,-172.56987
77,-140.47293,100,7700,28.183611154556274,-159.9699,-162.20694,-172.15302
78,-144.9237,100,7800,28.471304655075073,-157.71991,-161.83018,-171.80392
79,-149.25148,100,7900,28.9290714263916,-155.94325,-161.25435,-171.51846
80,-137.85983,100,8000,29.245763063430786,-151.30907,-160.67601,-171.09772
81,-160.99828,100,8100,29.527295112609863,-150.78165,-160.84917,-170.97302
82,-149.30042,100,8200,30.020898580551147,-149.62851,-160.70374,-170.70874
83,-161.44318,100,8300,30.34390163421631,-148.61028,-160.5465,-170.5971
84,-150.47395,100,8400,30.702186107635498,-148.18935,-160.40242,-170.35754
85,-151.58437,100,8500,31.00278949737549,-149.26038,-160.20575,-170.13667
86,-157.13432,100,8600,31.325353145599365,-150.34424,-160.32901,-169.98549
87,-144.74564,100,8700,31.648048400878906,-150.77151,-160.19194,-169.69537
88,-156.24959,100,8800,31.972421884536743,-151.90411,-160.14563,-169.54259
89,-158.34451,100,8900,32.30635046958923,-152.8134,-160.12007,-169.41678
90,-136.10431,100,9000,32.69517111778259,-152.63785,-159.8227,-169.04663
91,-157.59448,100,9100,33.022114992141724,-152.29745,-159.56279,-168.92079
92,-158.37276,100,9200,33.417776107788086,-153.20471,-159.23369,-168.80614
93,-150.41278,100,9300,34.034627199172974,-152.10168,-158.93324,-168.60837
94,-166.27771,100,9400,34.41711449623108,-153.68204,-159.22607,-168.58357
95,-144.39452,100,9500,34.74308514595032,-152.96306,-158.49088,-168.32895
96,-160.90578,100,9600,35.0990207195282,-153.34021,-158.31847,-168.2516
97,-149.1038,100,9700,35.42087268829346,-153.77603,-157.92278,-168.0542
