episode,reward,length,timesteps,time_elapsed,rolling_reward_10,rolling_reward_50,rolling_reward_100,avg_distance,final_distance
1,-577.7213,300,300,0.888573408126831,-577.7213,-577.7213,-577.7213,1.9257374226172028,2.8591249738783397
2,-584.9242,300,600,1.3591251373291016,-581.32275,-581.32275,-581.32275,1.949747187502096,1.3899818466542944
3,-563.3473,300,900,1.8251404762268066,-575.33093,-575.33093,-575.33093,1.8778247191955382,1.1431301980380895
4,-583.96906,300,1200,2.2910006046295166,-577.4905,-577.4905,-577.4905,1.9465632694312391,1.9790543492977741
5,-605.6271,300,1500,2.7635891437530518,-583.1178,-583.1178,-583.1178,2.018756797111759,2.234732701332731
6,-587.35223,300,1800,3.298248291015625,-583.82355,-583.82355,-583.82355,1.9578403736951728,1.1808129660045708
7,-572.76465,300,2100,4.237901210784912,-582.2437,-582.2437,-582.2437,1.9092150162013521,2.7706349480923667
8,-537.47485,300,2400,4.693215370178223,-576.6476,-576.6476,-576.6476,1.7915827637296948,0.8625343210102371
9,-543.6547,300,2700,5.157088756561279,-572.9817,-572.9817,-572.9817,1.8121825841318748,1.3420491634266554
10,-531.1209,300,3000,5.629895925521851,-568.79565,-568.79565,-568.79565,1.7704031470538326,2.232849585178495
11,-522.23566,300,3300,6.247890472412109,-563.24713,-564.5629,-564.5629,1.7407857098943116,1.1697035535380496
12,-533.89417,300,3600,6.833477735519409,-558.14404,-562.0072,-562.0072,1.7796464800620198,2.069817715682855
13,-539.9905,300,3900,7.417381048202515,-555.8084,-560.3136,-560.3136,1.7999688461462888,2.365996645649796
14,-517.4235,300,4200,8.637132167816162,-549.15375,-557.25006,-557.25006,1.7247449857602215,1.6450684584016522
15,-505.65808,300,4500,9.105572938919067,-539.1569,-553.81055,-553.81055,1.6855266700257452,0.6043925275097192
16,-491.39032,300,4800,9.635005950927734,-529.5607,-549.9093,-549.9093,1.6379677155707963,1.9739921517057517
17,-496.39456,300,5100,10.095999717712402,-521.9237,-546.76135,-546.76135,1.654648437140601,1.1091576272460466
18,-490.6503,300,5400,10.569880723953247,-517.24133,-543.6441,-543.6441,1.6355008003217668,2.4652503107067423
19,-474.7176,300,5700,11.102992534637451,-510.34756,-540.0164,-540.0164,1.5823913189802843,0.7486728880292305
20,-503.9375,300,6000,11.66776180267334,-507.62924,-538.21246,-538.21246,1.6797912170200198,1.575908209625356
21,-483.90384,300,6300,12.944523811340332,-503.79605,-535.62634,-535.62634,1.613012581995871,1.1480921247646356
22,-450.13623,300,6600,13.431646585464478,-495.42026,-531.7404,-531.7404,1.5004538915842485,1.6860110739577472
23,-442.15613,300,6900,13.93348503112793,-485.6368,-527.84546,-527.84546,1.4738528589669821,1.5034156237072678
24,-455.43704,300,7200,14.398998260498047,-479.43814,-524.8284,-524.8284,1.5181226510699874,1.7443663517121766
25,-465.91058,300,7500,14.900399684906006,-475.46344,-522.4717,-522.4717,1.5530350592589748,1.7760223612822292
26,-455.79825,300,7800,15.526270627975464,-471.9042,-519.9073,-519.9073,1.5193272210509507,1.5187854269420646
27,-474.20038,300,8100,16.08652925491333,-469.68475,-518.2144,-518.2144,1.580667882838167,1.9739921517057517
28,-423.4054,300,8400,17.24481177330017,-462.96027,-514.8284,-514.8284,1.4113515089156015,2.72049296771279
29,-413.33295,300,8700,17.773152589797974,-456.82184,-511.32855,-511.32855,1.4111094504967345,1.3400151554951032
30,-436.74048,300,9000,18.249468326568604,-450.10214,-508.8423,-508.8423,1.455801085856577,1.5396931667229603
