Time (ms),Trajectory Position 1 (mm),Measured Position 1 (mm),Trajectory Position 2 (mm),Measured Position 2 (mm),Trajectory Position 3 (mm),Measured Position 3 (mm)
20.0,116.86331640624995,116.86877343749994,116.67678515624993,116.67480078124993,122.36598828124994,122.36747656249995
30.0,116.86331640624995,116.86877343749994,116.67678515624993,116.67480078124993,122.36598828124994,122.36747656249995
40.0,116.86331640624995,116.86877343749994,116.67678515624993,116.67480078124993,122.36598828124994,122.36747656249995
50.0,116.86331640624995,116.86877343749994,116.67678515624993,116.67480078124993,122.36598828124994,122.36747656249995
60.0,116.86331640624995,116.86877343749994,116.67678515624993,116.67480078124993,122.36598828124994,122.36747656249995
70.0,116.86331640624995,116.86877343749994,116.67827343749994,116.67827343749994,122.36747656249995,122.37094921874994
80.0,116.86083593749993,116.86877343749994,116.68869140624993,116.68769921874994,122.37739843749993,122.37739843749993
90.0,116.84892968749993,116.85587499999994,116.70903124999994,116.70655078124994,122.39773828124993,122.39922656249993
100.0,116.82660546874995,116.83702343749994,116.73978906249995,116.73532421874994,122.42799999999994,122.42799999999994
110.0,116.79485546874994,116.80527343749993,116.77997265624994,116.77649999999994,122.46818359374993,122.46917578124994
120.0,116.75268749999994,116.76360156249994,116.82908593749994,116.82412499999995,122.51729687499993,122.51680078124994
130.0,116.70307812499995,116.71299999999994,116.87869531249993,116.87472656249993,122.56690624999995,122.56789843749993
140.0,116.65297265624994,116.66239843749995,116.92880078124993,116.92235156249994,122.61701171874994,122.61849999999994
150.0,116.60336328124994,116.61477343749995,116.97890624999995,116.97344921874995,122.66711718749994,122.66612499999994
160.0,116.55325781249994,116.56069921874993,117.02901171874994,117.02405078124994,122.71722265624993,122.72019921874994
170.0,116.50414453124993,116.51605078124993,117.07911718749995,117.07167578124994,122.76732812499993,122.76782421874994
180.0,116.46296874999993,116.47189843749995,117.12872656249993,117.12574999999994,122.81693749999994,122.81842578124993
190.0,116.43221093749993,116.44014843749994,117.17883203124994,117.17337499999994,122.86704296874994,122.86952343749994
